Course_id,Coursename,Lecturer_ID,CourseLecturer,Coursegrade
COMP011,Introduction to Web Development for Beginners,7665902,Rachel Scott,0
COMP012,Advanced Web Development using Java,7232433,Scott Carter,0
COMP016,Exploring Data Science for Beginners,7453313,Wayne Watkins,0
COMP047,Fundamentals of Robotics and Machine Learning,7973738,Nathan Reyes,0
COMP048,Advanced Cloud Computing and Machine Learning,7882492,Brandon Martinez,0
COMP077,Exploring Web Development in C++,7138062,Kristin Wright,0
COMP109,Principles of Cloud Computing using Java,7355419,Douglas Kim,0
COMP133,Exploring Robotics for Professionals,7634978,Mary Baker,0
COMP135,Introduction to Artificial Intelligence using Java,7302030,Adam Sheppard,0
COMP149,Exploring Artificial Intelligence for Beginners,7232433,Scott Carter,0
COMP154,Fundamentals of Cybersecurity in C++,7256715,Harold Wells,0
COMP155,Principles of Artificial Intelligence using Java,7554718,Roger Ayala,0
COMP183,Exploring Cybersecurity with Python,7989160,Anthony Wolfe,0
COMP267,Principles of Robotics for Professionals,7686250,Kenneth Smith,0
COMP268,Principles of Web Development for Beginners,7360950,Jason Hernandez,0
COMP270,Applied Artificial Intelligence for Professionals,7841623,Robert Allison,0
COMP275,Introduction to Cybersecurity for Beginners,7210183,Lisa Perkins,0
COMP318,Principles of Cloud Computing for Professionals,7512904,Daniel Frazier,0
COMP320,Introduction to Robotics for Beginners,7854753,Benjamin Luna,0
COMP331,Principles of Web Development in C++,7731476,Eric Bishop,0
COMP343,Advanced Data Science using Java,7983656,Cathy Garcia,0
COMP365,Introduction to Cloud Computing in C++,7202627,Jason Farrell,0
COMP369,Introduction to Web Development with Python,7552904,James Holt,0
COMP376,Fundamentals of Artificial Intelligence for Beginners,7519325,Stephen Roberts,0
COMP446,Applied Cybersecurity and Machine Learning,7642779,Michael Larsen,0
COMP459,Applied Cloud Computing in C++,7586399,Jermaine Ford,0
COMP518,Applied Web Development using Java,7288153,Jennifer Collins,0
COMP576,Advanced Cybersecurity and Machine Learning,7781377,Danielle Soto,0
COMP601,Principles of Web Development using Java,7686250,Kenneth Smith,0
COMP674,Principles of Cybersecurity for Beginners,7914569,Jessica Stephens,0
COMP680,Exploring Cybersecurity for Beginners,7967507,Sandra Wiggins,0
COMP682,Principles of Artificial Intelligence for Professionals,7787425,Scott Olson,0
COMP689,Exploring Robotics for Beginners,7167383,James Marshall,0
COMP727,Fundamentals of Cybersecurity for Beginners,7131804,Holly Ross,0
COMP778,Principles of Data Science using Java,7932694,Brent Brennan,0
COMP793,Applied Robotics and Machine Learning,7282617,Karen Weeks,0
COMP803,Applied Data Science for Beginners,7835916,Brian Snyder,0
COMP834,Applied Web Development for Beginners,7400467,Alexis Nunez,0
COMP837,Advanced Web Development for Professionals,7737192,Marcus Cobb,0
COMP848,Introduction to Cloud Computing for Professionals,7397195,Samuel Alexander,0
COMP862,Introduction to Data Science and Machine Learning,7869575,James Parker,0
COMP876,Advanced Artificial Intelligence using Java,7989160,Anthony Wolfe,0
COMP955,Advanced Data Science for Beginners,7256715,Harold Wells,0
COMP994,Principles of Cloud Computing and Machine Learning,7748853,Rebecca Wilson,0
COMP995,Principles of Cloud Computing with Python,7138314,Jasmine Long,0
GOVT009,Introduction to Geography for Advanced Students,7836109,Debbie Owens,0
GOVT030,Theories of Sociology for Beginners,7662401,Julia Williams,0
GOVT088,Research Methods in Geography for Professionals,7338095,Robert Crosby,0
GOVT094,Key Concepts in Anthropology for Advanced Students,7835916,Brian Snyder,0
GOVT221,Comparative Studies of Geography for Professionals,7499147,John Becker,0
GOVT231,Research Methods in Economics for Advanced Students,7290789,Julie Ramos,0
GOVT242,Research Methods in Psychology in Global Perspective,7685081,Michelle Howard,0
GOVT252,Foundations of Political Science for Beginners,7355419,Douglas Kim,0
GOVT292,Research Methods in Sociology in Contemporary Society,7851783,Kathleen Frazier,0
GOVT349,Introduction to Geography for Beginners,7748036,Erica Massey,0
GOVT493,Key Concepts in Sociology for Professionals,7682667,Spencer Vargas,0
GOVT501,Introduction to Political Science in Global Perspective,7397195,Samuel Alexander,0
GOVT503,Introduction to Psychology in Global Perspective,7665902,Rachel Scott,0
GOVT519,Foundations of Psychology for Beginners,7865313,Susan Thomas,0
GOVT557,Comparative Studies of Political Science for Professionals,7512904,Daniel Frazier,0
GOVT609,Research Methods in Political Science for Beginners,7381239,Darlene Copeland,0
GOVT679,Comparative Studies of Psychology for Advanced Students,7682667,Spencer Vargas,0
GOVT702,Research Methods in Sociology for Advanced Students,7634978,Mary Baker,0
GOVT769,Key Concepts in Sociology in Contemporary Society,7361444,Leslie Harrison,0
GOVT786,Comparative Studies of Anthropology in Contemporary Society,7817433,Priscilla Bond,0
GOVT833,Theories of Political Science for Beginners,7956254,Rhonda Carlson,0
GOVT911,Theories of Psychology in Contemporary Society,7854753,Benjamin Luna,0
